166.96482,0.84757,6.61053,2.70708,8.66782,3.55030,2.09328,9.10150,6.85008
187.04801,8.43114,0.68999,6.88779,2.93659,4.21858,8.14016,1.98354,5.88296
121.10518,7.23100,9.15569,1.32437,3.93116,3.79770,6.82888,1.16546,6.09418
212.81333,9.72409,3.50820,9.55602,1.29999,4.18369,8.64983,6.61957,6.95256
209.52653,7.91985,1.65272,8.77283,1.16794,8.14001,0.18501,5.51599,5.44290
210.24834,4.98523,7.00951,9.92721,7.01429,6.95786,0.81621,6.49419,2.66665
130.88221,5.19014,9.06955,2.41555,8.24603,8.93661,3.37828,1.00486,0.63785
157.06027,7.17305,0.39565,8.33024,1.46646,3.68474,3.75791,6.72209,4.27442
153.94445,5.52705,5.06875,1.28204,9.43914,7.24091,4.43759,8.02580,3.58476
164.22945,5.70615,3.57959,4.79267,2.74712,3.01549,6.98496,8.55462,1.04959
289.36015,7.25190,9.16572,5.25776,9.14750,3.55230,8.48741,0.82892,9.19921
134.87109,0.34030,0.59375,4.48018,5.62130,8.11074,6.93203,7.94427,3.38602
145.18304,0.64908,6.38696,6.77351,8.11861,1.06814,0.53090,2.33517,4.75233
172.87829,7.54526,5.49821,5.63604,3.99911,6.14254,5.99160,6.60908,8.39351
108.14358,0.59302,9.42819,4.99488,2.16787,1.43566,0.73317,1.45080,1.71646
112.17153,9.38186,0.78891,0.02055,5.90645,0.29631,4.04722,5.59712,7.99340
80.17680,1.67513,3.31261,2.51175,3.39934,3.00396,2.20448,2.88183,0.11091
155.82478,4.87885,8.30586,5.85052,0.95571,4.27280,2.50664,1.35096,9.51437
195.21773,5.83078,2.54908,4.52770,3.92643,1.57594,1.28342,9.44846,5.34763
215.91693,3.90992,2.64131,3.23868,0.31649,9.29005,0.83507,4.27206,8.78806
48.73641,2.46622,0.79032,0.54949,2.09260,3.66025,0.32011,6.89955,7.57690
288.98219,3.57063,7.04801,2.13317,9.18627,3.58533,5.58837,9.78530,5.74485
109.83633,1.08554,2.99114,8.57649,1.19205,2.22326,2.95943,1.22710,3.53308
145.25423,7.05536,1.84737,2.75697,1.76117,4.41708,1.94625,1.90338,2.50949
78.11905,6.41764,0.06661,1.79016,0.69045,4.94099,1.92422,8.48064,0.88028
149.06753,5.03427,5.33767,8.54735,8.70658,2.56690,7.74546,9.29129,3.99685
338.80436,6.04318,6.05027,7.74347,9.94562,4.95110,9.29845,7.08173,5.05805
161.38274,9.53023,7.20228,1.59537,7.12791,9.34147,0.01300,3.83077,1.00763
158.03789,0.52151,7.75235,0.05040,4.42824,4.10479,9.31046,2.63839,8.62713
140.94814,0.29582,4.41783,0.58528,3.04130,6.07453,3.99934,1.68476,5.82401
171.99801,6.01765,6.91797,2.57533,4.44256,8.71881,3.61615,5.25959,3.11511
195.27341,3.69025,9.66246,1.23397,6.34429,6.12881,4.71161,6.86183,0.30541
334.64664,9.42923,4.88531,6.12255,6.34709,7.82737,9.08216,9.36964,3.36214
